id,credit_card_type,credit_card_number,currency_code,currency
41,mastercard,5108750210006409,PLN,Zloty
42,mastercard,5108755378774573,ARS,Peso
43,mastercard,5108753723982215,SEK,Krona
44,mastercard,5108754427293263,IRR,Rial
45,mastercard,5048378118080483,RUB,Ruble
46,mastercard,5048374249305246,UAH,Hryvnia
47,mastercard,5108758876641062,HNL,Lempira
48,mastercard,5108752669075208,PLN,Zloty
49,mastercard,5048374825870241,TTD,Dollar
50,mastercard,5108759754987296,CNY,Yuan Renminbi
51,mastercard,5108758781497733,EUR,Euro
52,mastercard,5048379965976161,CNY,Yuan Renminbi
53,mastercard,5048370331477117,BWP,Pula
54,mastercard,5048372677881936,CNY,Yuan Renminbi
55,mastercard,5108756178472525,IDR,Rupiah
56,mastercard,5108759379291355,EUR,Euro
57,mastercard,5108756353327676,HRK,Kuna
58,mastercard,5048370793489972,HNL,Lempira
59,mastercard,5108756631776389,KPW,Won
60,mastercard,5048377546656351,EUR,Euro
61,mastercard,5108750533096681,ZAR,Rand
62,mastercard,5048374217704826,CNY,Yuan Renminbi
63,mastercard,5108759750138829,MKD,Denar
64,mastercard,5108757735189735,CNY,Yuan Renminbi
65,mastercard,5108759089275672,PLN,Zloty
66,mastercard,5108759477044763,KES,Shilling
67,mastercard,5048376532003891,RUB,Ruble
68,mastercard,5048376520800712,AFN,Afghani
69,mastercard,5048378827881288,VND,Dong
70,mastercard,5048377884085270,MKD,Denar
71,mastercard,5048371549724951,KGS,Som
72,mastercard,5048371650325457,BRL,Real
73,mastercard,5048375155376212,PHP,Peso
74,mastercard,5048378320975389,CNY,Yuan Renminbi
75,mastercard,5108752596826095,RUB,Ruble
76,mastercard,5108755867346776,ARS,Peso
77,mastercard,5048371445797382,BRL,Real
78,mastercard,5108758200437666,PHP,Peso
79,mastercard,5048374056079587,RUB,Ruble
80,mastercard,5108751264880400,BRL,Real
81,mastercard,5048376639060190,IDR,Rupiah
82,mastercard,5048371146854367,GBP,Pound
83,mastercard,5108755567113492,BRL,Real
84,mastercard,5048372557439169,EUR,Euro
85,mastercard,5108757445380475,BRL,Real
86,mastercard,5108752548985742,TZS,Shilling
87,mastercard,5108753757875111,RUB,Ruble
88,mastercard,5048375882401663,BRL,Real
89,mastercard,5048374070017142,BRL,Real
90,mastercard,5108755000995828,PHP,Peso
91,mastercard,5108753808274983,ETB,Birr
92,mastercard,5048379863974144,CNY,Yuan Renminbi
93,mastercard,5108756789516041,EUR,Euro
94,mastercard,5048377218956949,SEK,Krona
95,mastercard,5108755309701190,CNY,Yuan Renminbi
96,mastercard,5108758259681479,ILS,Shekel
97,mastercard,5108752700745884,HNL,Lempira
98,mastercard,5048371769958560,RUB,Ruble
99,mastercard,5048370575687561,EUR,Euro
100,mastercard,5108754139059937,HRK,Kuna
101,mastercard,5108753875279220,BGN,Lev
102,mastercard,5108752502098490,COP,Peso
103,mastercard,5108752108358777,KRW,Won
104,mastercard,5048376949598632,CNY,Yuan Renminbi
105,mastercard,5048372073928943,NGN,Naira
106,mastercard,5048378480815797,CNY,Yuan Renminbi
107,mastercard,5048374715258861,MYR,Ringgit
108,mastercard,5108758519917515,USD,Dollar
109,mastercard,5108753563513997,USD,Dollar
110,mastercard,5108750466319530,IDR,Rupiah
111,mastercard,5048379030391156,IDR,Rupiah
112,mastercard,5108758813473025,YER,Rial
113,mastercard,5108750759881311,PHP,Peso
114,mastercard,5108750855621983,BAM,Marka
115,mastercard,5048379506652826,USD,Dollar
116,mastercard,5108753441363326,PHP,Peso
117,mastercard,5048370867037087,ILS,Shekel
118,mastercard,5048373188905479,COP,Peso
119,mastercard,5048376506698445,EUR,Euro
120,mastercard,5108754455537938,SEK,Krona
121,mastercard,5108754848329811,CNY,Yuan Renminbi
122,mastercard,5108757400184698,IDR,Rupiah
123,mastercard,5048371051134078,IDR,Rupiah
124,mastercard,5048375461164740,USD,Dollar
125,mastercard,5048371052095070,EUR,Euro
126,mastercard,5108752023606151,VND,Dong
127,mastercard,5108752461001204,ZWL,Dollar
128,mastercard,5108756192134457,IDR,Rupiah
129,mastercard,5108755752109289,EUR,Euro
130,mastercard,5108757361555316,LTL,Litas
131,mastercard,5048379955348215,JPY,Yen
132,mastercard,5108758037997114,CNY,Yuan Renminbi
133,mastercard,5048378534006377,TWD,Dollar
134,mastercard,5048372452821701,CNY,Yuan Renminbi
135,mastercard,5048370435707039,IDR,Rupiah
136,mastercard,5108754777024375,UAH,Hryvnia
137,mastercard,5108756605687091,CNY,Yuan Renminbi
138,mastercard,5108750076961838,HRK,Kuna
139,mastercard,5048371342087523,IDR,Rupiah
140,mastercard,5048377050591796,JPY,Yen
141,mastercard,5048373250136110,PKR,Rupee
142,mastercard,5048374443009131,CNY,Yuan Renminbi
143,mastercard,5108753613503865,EGP,Pound
144,mastercard,5108752197660935,HNL,Lempira
145,mastercard,5108753578294674,PLN,Zloty
146,mastercard,5048374603766348,UAH,Hryvnia
147,mastercard,5048375054907265,PEN,Sol
148,mastercard,5048376832225152,CNY,Yuan Renminbi
149,mastercard,5108756661495256,IDR,Rupiah
150,mastercard,5108751487387779,JPY,Yen
151,mastercard,5108758191044067,ARS,Peso
152,mastercard,5108751530228988,RUB,Ruble
153,mastercard,5048372335709578,BDT,Taka
154,mastercard,5108753075745004,EUR,Euro
155,mastercard,5108758688416091,CNY,Yuan Renminbi
156,mastercard,5048379033133753,IDR,Rupiah
157,mastercard,5108751141842896,PLN,Zloty
158,mastercard,5048370043304906,SEK,Krona
159,mastercard,5108755471385020,CAD,Dollar
160,mastercard,5108758382786112,IDR,Rupiah
161,mastercard,5108755298024018,CNY,Yuan Renminbi
162,mastercard,5048372484746777,IDR,Rupiah
163,mastercard,5048370774359475,MYR,Ringgit
164,mastercard,5108751345386427,SYP,Pound
165,mastercard,5048372574481228,CNY,Yuan Renminbi
166,mastercard,5048376223227379,AFN,Afghani
167,mastercard,5048372698726359,RUB,Ruble
168,mastercard,5108756680280663,CNY,Yuan Renminbi
169,mastercard,5108753587732359,CNY,Yuan Renminbi
170,mastercard,5108757054341164,EUR,Euro
171,mastercard,5048370502502610,CNY,Yuan Renminbi
172,mastercard,5048379212528484,EUR,Euro
173,mastercard,5108753528608361,COP,Peso
174,mastercard,5048375210196217,KZT,Tenge
175,mastercard,5108757472294300,PHP,Peso
176,mastercard,5048372538160157,MRO,Ouguiya
177,mastercard,5048378450284701,CAD,Dollar
178,mastercard,5108756891884717,LKR,Rupee
179,mastercard,5048378971861342,MDL,Leu
180,mastercard,5048378099038203,CNY,Yuan Renminbi
181,mastercard,5048372700244110,IDR,Rupiah
182,mastercard,5108755748582789,CNY,Yuan Renminbi
183,mastercard,5108754919904864,CNY,Yuan Renminbi
184,mastercard,5108758830072602,SEK,Krona
185,mastercard,5048378199831697,XAF,Franc
186,mastercard,5048372796358485,CVE,Escudo
187,mastercard,5108757287507664,IDR,Rupiah
188,mastercard,5048373229494673,CNY,Yuan Renminbi
189,mastercard,5048376968157872,IDR,Rupiah
190,mastercard,5108757544883247,HNL,Lempira
191,mastercard,5108758404257894,XOF,Franc
192,mastercard,5108757370836228,BRL,Real
193,mastercard,5108751208479483,EUR,Euro
194,mastercard,5108754883042261,CZK,Koruna
195,mastercard,5108752344886110,UAH,Hryvnia
196,mastercard,5048375045940037,JMD,Dollar
197,mastercard,5108754190251290,PLN,Zloty
198,mastercard,5108757347439742,EUR,Euro
199,mastercard,5108753153672120,EUR,Euro
200,mastercard,5048371699264444,AZN,Manat
201,mastercard,5108758588966575,IDR,Rupiah
202,mastercard,5048377281432638,CZK,Koruna
203,mastercard,5048372799071622,TZS,Shilling
204,mastercard,5108755454460527,PHP,Peso
205,mastercard,5048370090553231,PLN,Zloty
206,mastercard,5048373221870029,USD,Dollar
207,mastercard,5048376892629954,CNY,Yuan Renminbi
208,mastercard,5108753479401980,CNY,Yuan Renminbi
209,mastercard,5048376219578462,PHP,Peso
210,mastercard,5108751355506518,CNY,Yuan Renminbi
211,mastercard,5108754465218636,CNY,Yuan Renminbi
212,mastercard,5048376184448139,CNY,Yuan Renminbi
213,mastercard,5048371176037487,PHP,Peso
214,mastercard,5108756936638615,CNY,Yuan Renminbi
215,mastercard,5048377724878280,IDR,Rupiah
216,mastercard,5108758728753719,THB,Baht
217,mastercard,5048379007878235,EUR,Euro
218,mastercard,5108758703741945,CZK,Koruna
219,mastercard,5108758272905376,AMD,Dram
220,mastercard,5108752946609704,EUR,Euro
221,mastercard,5048373713476988,ARS,Peso
222,mastercard,5108758276084293,EUR,Euro
223,mastercard,5108757129708835,UAH,Hryvnia
224,mastercard,5108755152083357,IDR,Rupiah
225,mastercard,5048379300227189,USD,Dollar
226,mastercard,5108755036069721,PLN,Zloty
227,mastercard,5108757958909686,BRL,Real
228,mastercard,5108752754765374,EUR,Euro
229,mastercard,5048379854100972,EUR,Euro
230,mastercard,5108753345436103,CNY,Yuan Renminbi
231,mastercard,5048373918237078,RUB,Ruble
232,mastercard,5108752279416289,CNY,Yuan Renminbi
233,mastercard,5108756082405231,IDR,Rupiah
234,mastercard,5048373011525015,CZK,Koruna
235,mastercard,5108752940538271,USD,Dollar
236,mastercard,5048375280724302,JPY,Yen
237,mastercard,5108759617735452,SEK,Krona
238,mastercard,5108757669740602,NPR,Rupee
239,mastercard,5108758402009305,PHP,Peso
240,mastercard,5108757948311357,IDR,Rupiah
241,mastercard,5048375605162311,MAD,Dirham
242,mastercard,5108757548047336,EUR,Euro
243,mastercard,5048379751297434,IDR,Rupiah
244,mastercard,5108755672693438,PEN,Sol
245,mastercard,5108756151743546,USD,Dollar
246,mastercard,5048370103498226,CNY,Yuan Renminbi
247,mastercard,5048376982207836,IDR,Rupiah
248,mastercard,5048374589571605,DOP,Peso
249,mastercard,5108750981008899,IDR,Rupiah
250,mastercard,5048375866585598,HRK,Kuna
251,mastercard,5108758506060352,NGN,Naira
252,mastercard,5108759933187396,NGN,Naira
253,mastercard,5048378947657741,CNY,Yuan Renminbi
254,mastercard,5108750945820827,IDR,Rupiah
255,mastercard,5048376078375364,RUB,Ruble
256,mastercard,5048375281710326,MNT,Tugrik
257,mastercard,5048377438643509,LTL,Litas
258,mastercard,5048378959697619,CNY,Yuan Renminbi
259,mastercard,5048377748759136,PHP,Peso
260,mastercard,5048379779022814,HTG,Gourde
261,mastercard,5048370825000599,CNY,Yuan Renminbi
262,mastercard,5108751461553321,PHP,Peso
263,mastercard,5108755101905254,CNY,Yuan Renminbi
264,mastercard,5108752383359920,BGN,Lev
265,mastercard,5108758909016076,CAD,Dollar
266,mastercard,5048377260330993,IDR,Rupiah
267,mastercard,5048373441014325,USD,Dollar
268,mastercard,5048376594544147,PHP,Peso
269,mastercard,5108759365944140,EUR,Euro
270,mastercard,5048374863490498,IDR,Rupiah
271,mastercard,5048372460352301,COP,Peso
272,mastercard,5048378988391051,COP,Peso
273,mastercard,5048377457209729,RUB,Ruble
274,mastercard,5048378739747395,CNY,Yuan Renminbi
275,mastercard,5108759328849873,EUR,Euro
276,mastercard,5108754373774589,IDR,Rupiah
277,mastercard,5108759066126641,NOK,Krone
278,mastercard,5108758422346109,SEK,Krona
279,mastercard,5108756672629208,CNY,Yuan Renminbi
280,mastercard,5108753196795854,IDR,Rupiah
281,mastercard,5108756277799968,EUR,Euro
282,mastercard,5048376843776888,EUR,Euro
283,mastercard,5108756226408760,RUB,Ruble
284,mastercard,5108752493197939,MXN,Peso
285,mastercard,5048374172612816,CNY,Yuan Renminbi
286,mastercard,5048372189784347,IDR,Rupiah
287,mastercard,5108758872658656,CNY,Yuan Renminbi
288,mastercard,5108757090425476,TND,Dinar
289,mastercard,5048377583824177,CZK,Koruna
290,mastercard,5048374276459296,LYD,Dinar
291,mastercard,5048375402736580,UAH,Hryvnia
292,mastercard,5048373112947100,PKR,Rupee
293,mastercard,5108758568815644,IDR,Rupiah
294,mastercard,5108757314738688,RUB,Ruble
295,mastercard,5108754546410939,EUR,Euro
296,mastercard,5048371346592338,CNY,Yuan Renminbi
297,mastercard,5108756002127709,RUB,Ruble
298,mastercard,5108752628101657,RUB,Ruble
299,mastercard,5048374687418527,VEF,Bolivar
300,mastercard,5048372121167775,CNY,Yuan Renminbi
301,mastercard,5108757450736256,PHP,Peso
302,mastercard,5108751758011850,SEK,Krona
303,mastercard,5108754534607025,RUB,Ruble
304,mastercard,5048376201133524,CNY,Yuan Renminbi
305,mastercard,5048378829230971,CAD,Dollar
306,mastercard,5108755070783724,IDR,Rupiah
307,mastercard,5108758277725001,CNY,Yuan Renminbi
308,mastercard,5108759580315894,ARS,Peso
309,mastercard,5108759230903248,EUR,Euro
310,mastercard,5048373563661689,RUB,Ruble
311,mastercard,5108752112657735,PHP,Peso
312,mastercard,5108756929158480,IDR,Rupiah
313,mastercard,5048371472245511,UAH,Hryvnia
314,mastercard,5108755400415716,COP,Peso
315,mastercard,5048372564776413,SEK,Krona
316,mastercard,5108759615416808,PEN,Sol
317,mastercard,5048377263791506,SEK,Krona
318,mastercard,5108759380048505,PEN,Sol
319,mastercard,5048376526442592,CNY,Yuan Renminbi
320,mastercard,5108754120385812,RUB,Ruble
321,mastercard,5048370188867329,RUB,Ruble
322,mastercard,5108754848570406,JPY,Yen
323,mastercard,5048370517173001,EUR,Euro
324,mastercard,5108755483694534,JPY,Yen
325,mastercard,5108756889734106,CNY,Yuan Renminbi
326,mastercard,5108759109136631,EUR,Euro
327,mastercard,5048371482957857,UZS,Som
328,mastercard,5048370684979800,USD,Dollar
329,mastercard,5108759247457741,PYG,Guarani
330,mastercard,5048376533910896,RUB,Ruble
331,mastercard,5108750885293803,RUB,Ruble
332,mastercard,5048374619804588,PHP,Peso
333,mastercard,5048375890191165,RSD,Dinar
334,mastercard,5108751295203143,IDR,Rupiah
335,mastercard,5108755015012239,RUB,Ruble
336,mastercard,5048372607224363,ARS,Peso
337,mastercard,5048371010725875,HRK,Kuna
338,mastercard,5108751475953681,EUR,Euro
339,mastercard,5108759771120335,CNY,Yuan Renminbi
340,mastercard,5108758551822136,EUR,Euro
341,mastercard,5108751483328801,PEN,Sol
342,mastercard,5108756641279556,IDR,Rupiah
343,mastercard,5108751722454368,USD,Dollar
344,mastercard,5048370317791762,LYD,Dinar
345,mastercard,5108752393839507,PLN,Zloty
346,mastercard,5108752692114420,EUR,Euro
347,mastercard,5108755816931603,CNY,Yuan Renminbi
348,mastercard,5048379164779713,RUB,Ruble
349,mastercard,5108759096954251,CNY,Yuan Renminbi
350,mastercard,5108751795973807,KRW,Won
351,mastercard,5048378016556824,PKR,Rupee
352,mastercard,5108757394080464,PHP,Peso
353,mastercard,5108758610810452,ARS,Peso
354,mastercard,5108752349179370,CNY,Yuan Renminbi
355,mastercard,5108750975687708,EUR,Euro
356,mastercard,5108754859949366,NOK,Krone
357,mastercard,5048377878959191,PHP,Peso
358,mastercard,5048378656518068,CZK,Koruna
359,mastercard,5108751311426587,CNY,Yuan Renminbi
360,mastercard,5108758150437096,IDR,Rupiah
361,mastercard,5108754150281493,CNY,Yuan Renminbi
362,mastercard,5108758897826569,CRC,Colon
363,mastercard,5048371534053366,CNY,Yuan Renminbi
364,mastercard,5108750367228798,BGN,Lev
365,mastercard,5108753787141831,UAH,Hryvnia
366,mastercard,5108756054344574,ETB,Birr
367,mastercard,5108759278689261,CNY,Yuan Renminbi
368,mastercard,5048372787844360,PLN,Zloty
369,mastercard,5108758825548616,IDR,Rupiah
370,mastercard,5048376552661032,CNY,Yuan Renminbi
371,mastercard,5108759751684904,NGN,Naira
372,mastercard,5108755844227917,JPY,Yen
373,mastercard,5048377412435765,YER,Rial
374,mastercard,5048378765630796,CNY,Yuan Renminbi
375,mastercard,5048376639176293,RUB,Ruble
376,mastercard,5048379391492155,RUB,Ruble
377,mastercard,5108755835685222,EUR,Euro
378,mastercard,5048377460506764,CNY,Yuan Renminbi
379,mastercard,5048375641676217,EUR,Euro
380,mastercard,5108757176044993,EUR,Euro
381,mastercard,5048379462616567,RUB,Ruble
382,mastercard,5048375561609032,EUR,Euro
383,mastercard,5108756170367590,EUR,Euro
384,mastercard,5048376334834220,SEK,Krona
385,mastercard,5048375811463461,CNY,Yuan Renminbi
386,mastercard,5048370717427702,CAD,Dollar
387,mastercard,5048372907477174,BRL,Real
388,mastercard,5048371538642420,EUR,Euro
389,mastercard,5108751507794467,PKR,Rupee
390,mastercard,5048374809312343,CNY,Yuan Renminbi
391,mastercard,5108750005304316,IDR,Rupiah
392,mastercard,5108751792454587,ILS,Shekel
393,mastercard,5108753363486808,CNY,Yuan Renminbi
394,mastercard,5108756513130754,IDR,Rupiah
395,mastercard,5048375676621054,CNY,Yuan Renminbi
396,mastercard,5048373889619445,PHP,Peso
397,mastercard,5048371465651063,CNY,Yuan Renminbi
398,mastercard,5048374016800452,IDR,Rupiah
399,mastercard,5108753097189264,CNY,Yuan Renminbi
400,mastercard,5048372550347922,PLN,Zloty
401,mastercard,5048374411475132,CNY,Yuan Renminbi
402,mastercard,5048374953192442,PHP,Peso
403,mastercard,5108757922077750,SEK,Krona
404,mastercard,5108750686887811,PHP,Peso
405,mastercard,5108753254815495,CNY,Yuan Renminbi
406,mastercard,5048370942493701,PEN,Sol
407,mastercard,5108759451359583,CNY,Yuan Renminbi
408,mastercard,5048379849694808,RSD,Dinar
409,mastercard,5108752008617041,EUR,Euro
410,mastercard,5108757310837120,IDR,Rupiah
411,mastercard,5048375413905729,MWK,Kwacha
412,mastercard,5048371243077920,PEN,Sol
413,mastercard,5108751393826118,RUB,Ruble
414,mastercard,5048375633587745,PEN,Sol
415,mastercard,5108751860317401,CNY,Yuan Renminbi
416,mastercard,5048378215756795,IDR,Rupiah
417,mastercard,5108750250059284,PHP,Peso
418,mastercard,5048370524802667,RUB,Ruble
419,mastercard,5108753890388345,PLN,Zloty
420,mastercard,5048374427296332,YER,Rial
421,mastercard,5108754999745476,CAD,Dollar
422,mastercard,5048379903228840,UAH,Hryvnia
423,mastercard,5108750794924498,GBP,Pound
424,mastercard,5108756591452666,MXN,Peso
425,mastercard,5048372894353958,JPY,Yen
426,mastercard,5048375780592779,IDR,Rupiah
427,mastercard,5048371996597512,IDR,Rupiah
428,mastercard,5048375108780437,EUR,Euro
429,mastercard,5048373373637176,CAD,Dollar
430,mastercard,5108758775102398,CNY,Yuan Renminbi
431,mastercard,5048373612919666,USD,Dollar
432,mastercard,5048379927265604,PLN,Zloty
433,mastercard,5108756442222847,EUR,Euro
434,mastercard,5048377479032109,CNY,Yuan Renminbi
435,mastercard,5108757667327394,CNY,Yuan Renminbi
436,mastercard,5108751436508582,SEK,Krona
437,mastercard,5048371391472253,KPW,Won
438,mastercard,5048372412558450,CNY,Yuan Renminbi
439,mastercard,5108750745602417,CNY,Yuan Renminbi
440,mastercard,5108756243292262,JPY,Yen
441,mastercard,5108756342238521,UAH,Hryvnia
442,mastercard,5048374689476614,CZK,Koruna
443,mastercard,5048378299815285,RUB,Ruble
444,mastercard,5048370563023498,PLN,Zloty
445,mastercard,5108756573791693,RUB,Ruble
446,mastercard,5108754902752718,XOF,Franc
447,mastercard,5108758761448979,JPY,Yen
448,mastercard,5048375016922642,PHP,Peso
449,mastercard,5108756343942394,SEK,Krona
450,mastercard,5108752985430723,SEK,Krona
451,mastercard,5048372865676635,USD,Dollar
452,mastercard,5048377380822770,XOF,Franc
453,mastercard,5108753055900843,CZK,Koruna
454,mastercard,5108753914455435,DKK,Krone
455,mastercard,5108754110500289,IDR,Rupiah
456,mastercard,5108757695745252,BRL,Real
457,mastercard,5108758203835494,CNY,Yuan Renminbi
458,mastercard,5048379921371390,UGX,Shilling
459,mastercard,5048370120937321,IDR,Rupiah
460,mastercard,5108757623530081,BYR,Ruble
461,mastercard,5108757342325813,AMD,Dram
462,mastercard,5048373570246219,BRL,Real
463,mastercard,5048375149299272,BAM,Marka
464,mastercard,5048370585654577,CNY,Yuan Renminbi
465,mastercard,5108758818140892,MXN,Peso
466,mastercard,5048374806371524,COP,Peso
467,mastercard,5048373963028661,COP,Peso
468,mastercard,5108750331306795,MKD,Denar
469,mastercard,5048379743147010,KGS,Som
470,mastercard,5108758704533655,EUR,Euro
471,mastercard,5108757278575209,THB,Baht
472,mastercard,5108751233778420,EUR,Euro
473,mastercard,5048377449950075,KHR,Riels
474,mastercard,5108752493325092,SEK,Krona
475,mastercard,5048373813109588,SEK,Krona
476,mastercard,5048372889865404,BRL,Real
477,mastercard,5048377502867307,PHP,Peso
478,mastercard,5048374046121887,CNY,Yuan Renminbi
479,mastercard,5048373513138580,BYR,Ruble
480,mastercard,5108755863114525,MAD,Dirham
481,mastercard,5048370920331402,XAF,Franc
482,mastercard,5108750586139727,EUR,Euro
483,mastercard,5108753700118031,IDR,Rupiah
484,mastercard,5108751738571783,CNY,Yuan Renminbi
485,mastercard,5108759793522914,IDR,Rupiah
486,mastercard,5108754931525507,IRR,Rial
487,mastercard,5108754162388237,ARS,Peso
488,mastercard,5048378168986290,SEK,Krona
489,mastercard,5108755257884600,CNY,Yuan Renminbi
490,mastercard,5048374295937918,PHP,Peso
491,mastercard,5108759198646466,CAD,Dollar
492,mastercard,5108752054900549,NGN,Naira
493,mastercard,5108754284565811,THB,Baht
494,mastercard,5048373244502385,CNY,Yuan Renminbi
495,mastercard,5108753907999571,HUF,Forint
496,mastercard,5048372241013586,IDR,Rupiah
497,mastercard,5108758750029236,PHP,Peso
498,mastercard,5048374539325201,CNY,Yuan Renminbi
499,mastercard,5048379678871972,EUR,Euro
500,mastercard,5048374197221833,THB,Baht
501,mastercard,5108759364733635,CNY,Yuan Renminbi
502,mastercard,5048372064191071,CNY,Yuan Renminbi
503,mastercard,5048379725332986,CNY,Yuan Renminbi
504,mastercard,5048377115270964,EUR,Euro
505,mastercard,5048379661554601,IDR,Rupiah
506,mastercard,5048374907636619,JOD,Dinar
507,mastercard,5108754997680261,XOF,Franc
508,mastercard,5108759329530860,CNY,Yuan Renminbi
509,mastercard,5048378870999367,CNY,Yuan Renminbi
510,mastercard,5048376241158051,RSD,Dinar
511,mastercard,5048377179148973,PLN,Zloty
512,mastercard,5108752506193768,SEK,Krona
513,mastercard,5048373341480675,BRL,Real
514,mastercard,5108759793000754,EUR,Euro
515,mastercard,5108758878492506,PHP,Peso
516,mastercard,5108750604713933,MZN,Metical
517,mastercard,5048378503576020,CNY,Yuan Renminbi
518,mastercard,5108757682879627,IDR,Rupiah
519,mastercard,5048379294366977,CNY,Yuan Renminbi
520,mastercard,5108757132512455,LKR,Rupee
521,mastercard,5048376581113559,CNY,Yuan Renminbi
522,mastercard,5108757078215949,VND,Dong
523,mastercard,5048374190155186,BRL,Real
524,mastercard,5108756217705984,UYU,Peso
525,mastercard,5108750346622897,RUB,Ruble
526,mastercard,5108750662372598,RUB,Ruble
527,mastercard,5108752854009228,PHP,Peso
528,mastercard,5108752817008010,BGN,Lev
529,mastercard,5048370050821958,KMF,Franc
530,mastercard,5048379773665790,MXN,Peso
531,mastercard,5108755664775441,BRL,Real
532,mastercard,5108757269463019,EUR,Euro
533,mastercard,5108756848907439,RUB,Ruble
534,mastercard,5048374810477978,PHP,Peso
535,mastercard,5048370894951052,IDR,Rupiah
536,mastercard,5048379528727994,PEN,Sol
537,mastercard,5108754911831081,PEN,Sol
538,mastercard,5108752281126280,MYR,Ringgit
539,mastercard,5108751598884540,BGN,Lev
540,mastercard,5108753127759847,PLN,Zloty
541,mastercard,5048377184003247,AFN,Afghani
542,mastercard,5048373208700884,CNY,Yuan Renminbi
543,mastercard,5108754267592246,CNY,Yuan Renminbi
544,mastercard,5048378445110599,EUR,Euro
545,mastercard,5108753226742108,NGN,Naira
546,mastercard,5048374481768051,VND,Dong
547,mastercard,5108752089379420,PHP,Peso
548,mastercard,5048378482259424,BGN,Lev
549,mastercard,5048373484162981,EUR,Euro
550,mastercard,5048372055547729,COP,Peso
551,mastercard,5048374100699208,PEN,Sol
552,mastercard,5048370710158460,IDR,Rupiah
553,mastercard,5108759391857118,XAF,Franc
554,mastercard,5048370005776836,EUR,Euro
555,mastercard,5048371393519721,CNY,Yuan Renminbi
556,mastercard,5108756807037178,PKR,Rupee
557,mastercard,5108751332504529,RUB,Ruble
558,mastercard,5108752983971819,UAH,Hryvnia
559,mastercard,5048372346368018,CAD,Dollar
560,mastercard,5048377750511847,CVE,Escudo
561,mastercard,5108759252023685,IDR,Rupiah
562,mastercard,5048377989389320,CNY,Yuan Renminbi
563,mastercard,5048371443862410,CNY,Yuan Renminbi
564,mastercard,5108753693851515,IDR,Rupiah
565,mastercard,5048376225400016,CNY,Yuan Renminbi
566,mastercard,5108755320556169,PHP,Peso
567,mastercard,5108754633198884,MKD,Denar
568,mastercard,5108758357082570,CZK,Koruna
569,mastercard,5108755384193032,JOD,Dinar
570,mastercard,5048371849655970,SZL,Lilangeni
571,mastercard,5048370879802080,EUR,Euro
572,mastercard,5048374996277747,CUP,Peso
573,mastercard,5108758840070463,KRW,Won
574,mastercard,5048378265124803,MYR,Ringgit
575,mastercard,5108752815186974,CNY,Yuan Renminbi
576,mastercard,5048376350719537,IDR,Rupiah
577,mastercard,5108752754854160,IDR,Rupiah
578,mastercard,5108754384480119,IDR,Rupiah
579,mastercard,5048371959956952,JPY,Yen
580,mastercard,5108759972442660,VND,Dong
581,mastercard,5108754887499053,EUR,Euro
582,mastercard,5108759735321599,BRL,Real
583,mastercard,5048372769226131,BGN,Lev
584,mastercard,5108751976000487,ILS,Shekel
585,mastercard,5048371247705112,CNY,Yuan Renminbi
586,mastercard,5108758656601492,PHP,Peso
587,mastercard,5048377571578512,IDR,Rupiah
588,mastercard,5048372070877796,DOP,Peso
589,mastercard,5108756728473288,PLN,Zloty
590,mastercard,5048371043492998,KRW,Won
591,mastercard,5108750998872303,CAD,Dollar
592,mastercard,5108756105914755,USD,Dollar
